CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
42,SCST,3(1),3,3
43,MV,184,1,1
43,POCSO,8,2,2
44,IPC,376,1,1
45,IPC,420,1,1
45,BNS,318,2,2
46,POCSO,8,1,1
46,MV,184,2,2
47,IPC,302,1,1
47,NDPS,21,2,2
47,MV,185,3,3
48,IPC,354,1,1
48,IPC,498A,2,2
49,IPC,324,1,1
50,ARMS,27,1,1
51,POCSO,8,1,1
51,BNS,109,2,2
52,IPC,420,1,1
53,EXCISE,32,1,1
53,BNS,64,2,2
54,NDPS,21,1,1
54,IPC,324,2,2
55,IPC,354,1,1
55,IPC,307,2,2
55,IPC,324,3,3
56,IPC,498A,1,1
56,IPC,420,2,2
56,IPC,354,3,3
57,IPC,363,1,1
57,MV,184,2,2
57,BNS,103,3,3
58,BNS,318,1,1
59,BNS,305,1,1
60,ARMS,25,1,1
60,IT,66D,2,2
61,ARMS,25,1,1
61,POCSO,8,2,2
61,IT,66D,3,3
62,BNS,109,1,1
63,SCST,3(1),1,1
63,BNS,109,2,2
63,MV,184,3,3
64,IPC,302,1,1
65,BNS,103,1,1
66,IPC,447,1,1
66,IPC,420,2,2
66,IPC,307,3,3
67,IT,66C,1,1
67,ARMS,25,2,2
68,BNS,64,1,1
68,IPC,392,2,2
68,BNS,305,3,3
69,IPC,354,1,1
70,IPC,447,1,1
71,DOWRY,4,1,1
71,NDPS,21,2,2
72,IPC,376,1,1
72,POCSO,8,2,2
72,DOWRY,3,3,3
73,SCST,3(1),1,1
74,BNS,64,1,1
74,ARMS,25,2,2
75,MV,185,1,1
76,DOWRY,3,1,1
76,BNS,305,2,2
77,IPC,324,1,1
77,BNS,318,2,2
77,IT,66C,3,3
78,IPC,363,1,1
79,SCST,3(1),1,1
79,IPC,447,2,2
80,BNS,318,1,1
80,IT,66C,2,2
80,IT,66D,3,3
81,POCSO,4,1,1
81,ARMS,25,2,2
81,DOWRY,3,3,3
82,NDPS,20,1,1
82,IT,66C,2,2
83,BNS,305,1,1
84,ARMS,27,1,1
84,IPC,354,2,2
84,IPC,324,3,3
85,IPC,302,1,1
85,IPC,447,2,2
85,IPC,420,3,3
86,NDPS,20,1,1
87,MV,185,1,1
87,NDPS,21,2,2
87,POCSO,8,3,3
88,ARMS,25,1,1
88,IPC,376,2,2
89,IPC,363,1,1
89,IPC,447,2,2
89,IPC,302,3,3
90,NDPS,20,1,1
91,BNS,109,1,1
92,BNS,109,1,1
92,DOWRY,4,2,2
93,IPC,363,1,1
94,IPC,420,1,1
94,SCST,3(1),2,2
94,IPC,363,3,3
95,IPC,307,1,1
95,IPC,498A,2,2
96,IPC,447,1,1
96,MV,184,2,2
96,NDPS,20,3,3
97,IPC,420,1,1
97,IT,66D,2,2
97,MV,184,3,3
98,IPC,498A,1,1
99,DOWRY,3,1,1
99,IPC,447,2,2
100,NDPS,20,1,1
100,IPC,307,2,2
100,IPC,376,3,3
101,ARMS,25,1,1
101,IPC,392,2,2
102,IPC,392,1,1
102,IPC,307,2,2
102,BNS,109,3,3
103,DOWRY,3,1,1
103,SCST,3(1),2,2
103,BNS,305,3,3
104,NDPS,20,1,1
105,IPC,354,1,1
105,EXCISE,32,2,2
106,MV,184,1,1
107,NDPS,20,1,1
107,BNS,64,2,2
107,MV,184,3,3
108,DOWRY,4,1,1
108,IPC,302,2,2
108,POCSO,8,3,3
109,IT,66C,1,1
110,MV,184,1,1
111,NDPS,21,1,1
112,MV,185,1,1
113,DOWRY,3,1,1
113,MV,185,2,2
114,IPC,307,1,1
115,BNS,64,1,1
115,NDPS,20,2,2
115,ARMS,25,3,3
116,DOWRY,4,1,1
117,IPC,307,1,1
117,IPC,498A,2,2
117,IPC,363,3,3
118,IPC,324,1,1
119,NDPS,20,1,1
120,IPC,363,1,1
120,IPC,302,2,2
121,IPC,354,1,1
122,IPC,376,1,1
123,IPC,324,1,1
123,IPC,420,2,2
124,IT,66C,1,1
124,POCSO,8,2,2
125,BNS,318,1,1
126,DOWRY,3,1,1
126,MV,185,2,2
127,NDPS,20,1,1
127,DOWRY,4,2,2
128,IPC,420,1,1
128,IPC,302,2,2
129,BNS,109,1,1
129,IPC,420,2,2
129,IPC,498A,3,3
130,IPC,354,1,1
131,BNS,64,1,1
132,NDPS,21,1,1
132,NDPS,20,2,2
133,DOWRY,4,1,1
133,BNS,109,2,2
134,EXCISE,32,1,1
134,IPC,376,2,2
134,BNS,103,3,3
135,BNS,305,1,1
135,IPC,392,2,2
135,ARMS,27,3,3
136,SCST,3(1),1,1
137,IPC,392,1,1
137,BNS,109,2,2
137,IPC,307,3,3
138,BNS,318,1,1
138,IPC,498A,2,2
138,ARMS,27,3,3
139,IPC,420,1,1
139,IPC,392,2,2
140,BNS,64,1,1
140,EXCISE,32,2,2
140,IPC,376,3,3
141,EXCISE,32,1,1
141,BNS,64,2,2
142,ARMS,25,1,1
143,IPC,354,1,1
144,SCST,3(1),1,1
145,IPC,392,1,1
145,IPC,324,2,2
146,IT,66C,1,1
146,ARMS,25,2,2
146,POCSO,4,3,3
147,DOWRY,4,1,1
148,IT,66C,1,1
149,IPC,447,1,1
149,IPC,354,2,2
150,NDPS,20,1,1
150,EXCISE,32,2,2
151,ARMS,25,1,1
151,IPC,392,2,2
152,MV,184,1,1
152,ARMS,25,2,2
153,IT,66C,1,1
153,ARMS,25,2,2
154,IPC,324,1,1
154,POCSO,8,2,2
154,POCSO,4,3,3
155,ARMS,27,1,1
155,NDPS,20,2,2
156,DOWRY,4,1,1
157,NDPS,21,1,1
157,IPC,420,2,2
158,ARMS,27,1,1
159,ARMS,25,1,1
160,IPC,307,1,1
161,ARMS,25,1,1
161,POCSO,4,2,2
161,ARMS,27,3,3
162,EXCISE,32,1,1
162,IPC,363,2,2
163,BNS,103,1,1
163,MV,185,2,2
164,BNS,109,1,1
165,IPC,307,1,1
165,ARMS,27,2,2
165,DOWRY,4,3,3
166,IPC,324,1,1
166,IT,66C,2,2
167,IPC,307,1,1
167,IPC,392,2,2
167,EXCISE,32,3,3
168,IPC,302,1,1
169,IPC,376,1,1
169,IPC,302,2,2
169,NDPS,21,3,3
170,BNS,109,1,1
170,BNS,64,2,2
171,POCSO,4,1,1
171,NDPS,20,2,2
172,BNS,305,1,1
173,IPC,307,1,1
173,IPC,363,2,2
174,SCST,3(1),1,1
174,IT,66D,2,2
175,DOWRY,4,1,1
176,BNS,109,1,1
176,BNS,318,2,2
177,EXCISE,32,1,1
177,IPC,302,2,2
178,NDPS,21,1,1
178,BNS,318,2,2
178,IT,66C,3,3
179,IPC,302,1,1
179,BNS,64,2,2
180,BNS,64,1,1
180,POCSO,4,2,2
180,IPC,324,3,3
181,POCSO,8,1,1
182,IPC,363,1,1
182,NDPS,20,2,2
182,IT,66D,3,3
183,ARMS,25,1,1
183,NDPS,21,2,2
183,IT,66D,3,3
184,IPC,420,1,1
185,NDPS,20,1,1
186,BNS,305,1,1
187,IPC,447,1,1
188,MV,184,1,1
189,IPC,363,1,1
189,IT,66C,2,2
189,IPC,447,3,3
190,BNS,305,1,1
190,BNS,64,2,2
191,IPC,447,1,1
191,IT,66C,2,2
191,BNS,109,3,3
192,IPC,324,1,1
192,ARMS,25,2,2
193,MV,184,1,1
194,IT,66D,1,1
194,IPC,302,2,2
195,DOWRY,4,1,1
195,IT,66D,2,2
195,SCST,3(1),3,3
196,POCSO,8,1,1
197,EXCISE,32,1,1
198,MV,184,1,1
198,NDPS,21,2,2
199,IPC,354,1,1
199,NDPS,21,2,2
200,POCSO,8,1,1
201,POCSO,8,1,1
201,IPC,354,2,2
202,BNS,318,1,1
202,NDPS,20,2,2
202,IPC,354,3,3
203,BNS,318,1,1
203,IPC,307,2,2
204,IPC,363,1,1
205,IT,66C,1,1
205,IPC,324,2,2
206,IT,66C,1,1
206,BNS,64,2,2
206,IPC,324,3,3
207,NDPS,20,1,1
207,BNS,64,2,2
207,IT,66C,3,3
208,IPC,447,1,1
208,IPC,307,2,2
208,DOWRY,3,3,3
209,IPC,376,1,1
210,IPC,354,1,1
211,DOWRY,4,1,1
211,IPC,392,2,2
211,IPC,420,3,3
212,POCSO,8,1,1
212,MV,184,2,2
213,IPC,420,1,1
213,POCSO,4,2,2
213,BNS,305,3,3
214,IPC,302,1,1
215,IPC,354,1,1
216,IPC,392,1,1
216,MV,185,2,2
217,POCSO,4,1,1
217,MV,184,2,2
218,POCSO,4,1,1
218,BNS,103,2,2
219,IPC,324,1,1
219,IPC,376,2,2
220,SCST,3(1),1,1
220,NDPS,21,2,2
220,IPC,302,3,3
221,IT,66D,1,1
221,IPC,447,2,2
222,IPC,420,1,1
223,IPC,302,1,1
224,IPC,498A,1,1
224,IT,66D,2,2
225,BNS,318,1,1
225,ARMS,25,2,2
225,DOWRY,3,3,3
226,IT,66C,1,1
226,IPC,324,2,2
227,IPC,354,1,1
227,IT,66C,2,2
227,IPC,392,3,3
228,IPC,302,1,1
229,POCSO,8,1,1
230,POCSO,4,1,1
230,EXCISE,32,2,2
231,ARMS,25,1,1
231,DOWRY,3,2,2
231,MV,185,3,3
232,BNS,305,1,1
233,BNS,109,1,1
233,ARMS,25,2,2
234,IPC,302,1,1
234,IT,66D,2,2
235,IPC,302,1,1
236,BNS,318,1,1
237,BNS,103,1,1
238,NDPS,21,1,1
238,IPC,498A,2,2
238,IPC,307,3,3
239,BNS,64,1,1
240,IPC,420,1,1
240,MV,185,2,2
240,BNS,64,3,3
241,BNS,318,1,1
241,EXCISE,32,2,2
241,IPC,392,3,3
242,SCST,3(1),1,1
242,IPC,302,2,2
242,IPC,307,3,3
243,IPC,447,1,1
243,IPC,392,2,2
244,IPC,307,1,1
244,IPC,354,2,2
245,DOWRY,4,1,1
245,IPC,392,2,2
246,ARMS,27,1,1
247,DOWRY,3,1,1
247,IPC,447,2,2
248,BNS,103,1,1
248,MV,184,2,2
249,IPC,498A,1,1
249,DOWRY,4,2,2
249,IPC,324,3,3
250,IT,66C,1,1
250,ARMS,25,2,2
251,IPC,498A,1,1
251,SCST,3(1),2,2
251,IPC,447,3,3
252,SCST,3(1),1,1
252,IPC,498A,2,2
252,BNS,64,3,3
253,EXCISE,32,1,1
253,IPC,376,2,2
254,BNS,64,1,1
254,IPC,392,2,2
254,BNS,318,3,3
255,IPC,307,1,1
255,IPC,392,2,2
255,NDPS,20,3,3
256,IPC,363,1,1
256,BNS,305,2,2
257,MV,185,1,1
257,IPC,447,2,2
257,DOWRY,4,3,3
258,IPC,302,1,1
258,BNS,103,2,2
259,BNS,64,1,1
260,NDPS,21,1,1
261,BNS,305,1,1
261,IPC,363,2,2
261,SCST,3(1),3,3
262,IPC,363,1,1
263,DOWRY,4,1,1
263,IPC,307,2,2
263,NDPS,20,3,3
264,IPC,354,1,1
264,BNS,305,2,2
265,POCSO,8,1,1
266,IPC,447,1,1
266,SCST,3(1),2,2
267,IT,66C,1,1
267,POCSO,8,2,2
267,POCSO,4,3,3
268,IPC,307,1,1
268,IPC,447,2,2
268,IT,66D,3,3
269,SCST,3(1),1,1
269,POCSO,4,2,2
270,NDPS,20,1,1
270,ARMS,25,2,2
271,IPC,392,1,1
272,MV,185,1,1
272,DOWRY,4,2,2
272,IPC,307,3,3
273,IPC,376,1,1
273,IPC,498A,2,2
273,BNS,103,3,3
274,BNS,305,1,1
274,IPC,376,2,2
274,DOWRY,3,3,3
275,BNS,109,1,1
275,BNS,305,2,2
276,MV,185,1,1
277,IPC,307,1,1
277,DOWRY,3,2,2
277,IPC,324,3,3
278,POCSO,8,1,1
278,IPC,354,2,2
279,BNS,109,1,1
279,NDPS,21,2,2
279,IPC,354,3,3
280,IPC,307,1,1
280,BNS,109,2,2
281,POCSO,8,1,1
281,BNS,305,2,2
281,NDPS,20,3,3
282,IPC,307,1,1
283,IPC,447,1,1
284,SCST,3(1),1,1
285,EXCISE,32,1,1
285,DOWRY,3,2,2
286,IPC,354,1,1
286,IPC,302,2,2
287,IPC,392,1,1
287,ARMS,27,2,2
288,IPC,376,1,1
288,POCSO,4,2,2
288,ARMS,27,3,3
289,MV,185,1,1
289,IPC,307,2,2
290,ARMS,25,1,1
290,POCSO,8,2,2
291,BNS,103,1,1
291,SCST,3(1),2,2
292,MV,184,1,1
292,BNS,109,2,2
292,NDPS,21,3,3
293,IPC,420,1,1
293,EXCISE,32,2,2
293,NDPS,21,3,3
294,IT,66D,1,1
295,BNS,318,1,1
295,IPC,376,2,2
295,IPC,324,3,3
296,IPC,498A,1,1
296,IPC,307,2,2
296,DOWRY,4,3,3
297,IPC,354,1,1
298,IT,66D,1,1
298,BNS,103,2,2
298,IPC,307,3,3
299,BNS,64,1,1
300,ARMS,25,1,1
301,IPC,324,1,1
301,ARMS,25,2,2
301,IPC,392,3,3
302,BNS,305,1,1
302,IT,66D,2,2
302,NDPS,21,3,3
303,IT,66D,1,1
303,NDPS,20,2,2
304,SCST,3(1),1,1
304,IPC,498A,2,2
304,IPC,376,3,3
305,IT,66D,1,1
305,EXCISE,32,2,2
305,POCSO,8,3,3
306,IPC,392,1,1
306,NDPS,20,2,2
307,POCSO,4,1,1
307,IPC,307,2,2
308,DOWRY,4,1,1
308,IPC,498A,2,2
309,IPC,354,1,1
309,DOWRY,4,2,2
310,IPC,392,1,1
310,IPC,420,2,2
310,DOWRY,4,3,3
311,EXCISE,32,1,1
312,ARMS,25,1,1
313,BNS,109,1,1
313,DOWRY,4,2,2
313,IPC,376,3,3
314,IPC,324,1,1
314,SCST,3(1),2,2
314,IPC,376,3,3
315,IPC,363,1,1
315,IT,66C,2,2
315,IPC,447,3,3
316,DOWRY,3,1,1
316,IPC,498A,2,2
317,IPC,324,1,1
318,NDPS,20,1,1
318,POCSO,4,2,2
318,IPC,420,3,3
319,MV,184,1,1
319,ARMS,25,2,2
319,IPC,363,3,3
320,IPC,302,1,1
321,IPC,376,1,1
321,IPC,447,2,2
322,BNS,318,1,1
323,IPC,363,1,1
324,SCST,3(1),1,1
324,IPC,324,2,2
324,MV,185,3,3
325,POCSO,8,1,1
325,IPC,354,2,2
326,IT,66C,1,1
327,POCSO,4,1,1
327,IPC,498A,2,2
327,IPC,307,3,3
328,NDPS,20,1,1
328,DOWRY,4,2,2
329,NDPS,21,1,1
330,ARMS,25,1,1
330,IPC,302,2,2
330,IPC,447,3,3
331,ARMS,25,1,1
332,IPC,324,1,1
333,POCSO,4,1,1
333,IPC,392,2,2
333,IPC,420,3,3
334,IPC,498A,1,1
334,MV,185,2,2
334,POCSO,4,3,3
335,NDPS,20,1,1
335,NDPS,21,2,2
335,BNS,109,3,3
336,NDPS,21,1,1
336,IT,66C,2,2
336,IPC,498A,3,3
337,BNS,109,1,1
338,IPC,324,1,1
338,POCSO,4,2,2
338,BNS,318,3,3
339,DOWRY,4,1,1
340,IPC,447,1,1
340,SCST,3(1),2,2
341,BNS,64,1,1
341,ARMS,27,2,2
342,DOWRY,3,1,1
342,BNS,103,2,2
343,IPC,354,1,1
344,BNS,103,1,1
345,IPC,498A,1,1
346,POCSO,8,1,1
346,IPC,447,2,2
347,POCSO,8,1,1
348,IT,66D,1,1
349,NDPS,21,1,1
349,EXCISE,32,2,2
350,EXCISE,32,1,1
351,EXCISE,32,1,1
352,POCSO,8,1,1
352,BNS,305,2,2
353,DOWRY,4,1,1
354,IPC,354,1,1
354,IPC,392,2,2
355,IPC,354,1,1
355,BNS,305,2,2
356,IPC,376,1,1
357,IT,66C,1,1
357,DOWRY,4,2,2
358,BNS,305,1,1
359,IPC,307,1,1
359,ARMS,27,2,2
360,ARMS,25,1,1
360,IPC,420,2,2
361,IPC,392,1,1
361,IPC,498A,2,2
362,IPC,420,1,1
362,NDPS,21,2,2
362,POCSO,4,3,3
363,IPC,302,1,1
363,MV,185,2,2
363,MV,184,3,3
364,BNS,109,1,1
365,IPC,447,1,1
365,ARMS,27,2,2
366,NDPS,21,1,1
366,DOWRY,3,2,2
367,IPC,302,1,1
368,BNS,318,1,1
369,ARMS,27,1,1
370,IT,66D,1,1
371,IPC,363,1,1
371,BNS,318,2,2
372,IPC,302,1,1
372,NDPS,20,2,2
372,IPC,498A,3,3
373,IPC,307,1,1
374,IPC,498A,1,1
374,IT,66D,2,2
374,IPC,354,3,3
375,NDPS,20,1,1
375,BNS,318,2,2
376,IPC,420,1,1
377,BNS,305,1,1
377,BNS,103,2,2
378,EXCISE,32,1,1
379,NDPS,21,1,1
379,BNS,103,2,2
380,IPC,447,1,1
380,MV,184,2,2
380,BNS,64,3,3
381,BNS,64,1,1
382,POCSO,8,1,1
382,MV,185,2,2
382,DOWRY,3,3,3
383,IPC,302,1,1
383,IPC,498A,2,2
384,IPC,447,1,1
384,BNS,64,2,2
385,NDPS,20,1,1
385,IPC,354,2,2
386,BNS,305,1,1
386,DOWRY,3,2,2
386,IPC,447,3,3
387,SCST,3(1),1,1
387,NDPS,20,2,2
388,MV,185,1,1
389,BNS,109,1,1
389,IPC,392,2,2
390,IPC,392,1,1
391,IPC,354,1,1
391,SCST,3(1),2,2
391,EXCISE,32,3,3
392,BNS,318,1,1
392,IPC,498A,2,2
393,IPC,447,1,1
394,IT,66D,1,1
394,IPC,354,2,2
395,DOWRY,3,1,1
395,IPC,354,2,2
395,IPC,307,3,3
396,IPC,363,1,1
396,ARMS,27,2,2
397,IPC,420,1,1
397,BNS,305,2,2
398,ARMS,27,1,1
398,SCST,3(1),2,2
399,IPC,498A,1,1
399,IPC,307,2,2
399,DOWRY,3,3,3
400,IPC,363,1,1
401,IPC,307,1,1
402,DOWRY,3,1,1
402,IPC,307,2,2
403,NDPS,20,1,1
403,NDPS,21,2,2
404,IT,66C,1,1
405,ARMS,25,1,1
406,NDPS,21,1,1
406,IPC,392,2,2
407,IPC,354,1,1
407,NDPS,20,2,2
408,POCSO,4,1,1
409,IPC,420,1,1
409,IPC,302,2,2
410,IPC,302,1,1
411,POCSO,8,1,1
412,IPC,324,1,1
412,MV,185,2,2
413,IT,66D,1,1
414,MV,185,1,1
414,NDPS,20,2,2
414,MV,184,3,3
415,POCSO,4,1,1
416,BNS,64,1,1
416,IPC,498A,2,2
416,IPC,376,3,3
417,BNS,109,1,1
418,DOWRY,3,1,1
419,IPC,324,1,1
419,IPC,302,2,2
419,IPC,447,3,3
420,IPC,392,1,1
420,BNS,318,2,2
421,IPC,363,1,1
422,NDPS,20,1,1
422,ARMS,25,2,2
423,DOWRY,4,1,1
423,IPC,376,2,2
424,NDPS,21,1,1
425,DOWRY,4,1,1
425,IPC,498A,2,2
425,BNS,318,3,3
426,NDPS,20,1,1
426,BNS,109,2,2
427,BNS,103,1,1
427,BNS,305,2,2
427,SCST,3(1),3,3
428,BNS,305,1,1
428,MV,185,2,2
429,IT,66C,1,1
430,IT,66D,1,1
430,POCSO,4,2,2
431,IT,66C,1,1
432,ARMS,27,1,1
432,IPC,392,2,2
432,ARMS,25,3,3
433,ARMS,27,1,1
433,ARMS,25,2,2
433,IPC,376,3,3
434,POCSO,4,1,1
435,IPC,420,1,1
435,DOWRY,4,2,2
435,MV,184,3,3
436,BNS,64,1,1
436,IPC,376,2,2
437,SCST,3(1),1,1
437,IPC,302,2,2
437,IT,66C,3,3
438,IPC,363,1,1
438,ARMS,27,2,2
439,BNS,109,1,1
440,IPC,354,1,1
441,MV,184,1,1
442,ARMS,27,1,1
442,IPC,376,2,2
442,BNS,305,3,3
443,MV,184,1,1
444,IPC,447,1,1
444,DOWRY,3,2,2
444,IPC,354,3,3
445,IPC,392,1,1
445,BNS,64,2,2
446,IPC,420,1,1
446,ARMS,25,2,2
447,ARMS,25,1,1
447,BNS,64,2,2
447,IPC,376,3,3
448,IPC,354,1,1
448,IPC,392,2,2
449,ARMS,27,1,1
449,IPC,363,2,2
450,IPC,420,1,1
450,IPC,302,2,2
450,IPC,447,3,3
451,POCSO,4,1,1
451,IPC,302,2,2
452,IPC,363,1,1
452,BNS,109,2,2
452,NDPS,21,3,3
453,NDPS,21,1,1
454,IPC,302,1,1
454,IPC,376,2,2
454,SCST,3(1),3,3
455,IPC,420,1,1
456,IPC,302,1,1
456,BNS,64,2,2
457,BNS,318,1,1
457,BNS,64,2,2
457,IT,66C,3,3
458,ARMS,27,1,1
458,DOWRY,4,2,2
459,IPC,302,1,1
460,DOWRY,3,1,1
461,BNS,305,1,1
461,BNS,109,2,2
461,IPC,324,3,3
462,IPC,376,1,1
462,ARMS,27,2,2
463,IPC,354,1,1
463,NDPS,20,2,2
463,BNS,318,3,3
464,BNS,318,1,1
464,BNS,64,2,2
464,IPC,376,3,3
465,IPC,302,1,1
465,BNS,64,2,2
466,IPC,324,1,1
467,POCSO,4,1,1
467,IPC,307,2,2
468,BNS,109,1,1
468,MV,184,2,2
469,NDPS,21,1,1
469,IPC,392,2,2
469,DOWRY,4,3,3
470,IT,66C,1,1
471,ARMS,27,1,1
471,IPC,420,2,2
471,DOWRY,3,3,3
472,EXCISE,32,1,1
472,MV,185,2,2
472,IPC,447,3,3
473,SCST,3(1),1,1
474,BNS,305,1,1
475,IT,66D,1,1
475,IPC,447,2,2
476,SCST,3(1),1,1
476,IT,66D,2,2
477,NDPS,21,1,1
477,IPC,447,2,2
477,IPC,354,3,3
478,BNS,318,1,1
479,IPC,420,1,1
480,MV,184,1,1
480,DOWRY,4,2,2
481,BNS,109,1,1
481,POCSO,8,2,2
481,IPC,498A,3,3
482,IPC,420,1,1
482,DOWRY,4,2,2
482,MV,185,3,3
483,IPC,307,1,1
483,NDPS,21,2,2
484,IPC,498A,1,1
484,IPC,420,2,2
485,NDPS,20,1,1
486,BNS,64,1,1
486,ARMS,27,2,2
486,MV,184,3,3
487,ARMS,27,1,1
487,POCSO,8,2,2
487,DOWRY,4,3,3
488,BNS,305,1,1
488,DOWRY,4,2,2
489,BNS,103,1,1
489,IPC,420,2,2
490,IPC,447,1,1
491,ARMS,25,1,1
491,IPC,302,2,2
492,IT,66D,1,1
492,SCST,3(1),2,2
492,BNS,318,3,3
493,NDPS,21,1,1
494,BNS,64,1,1
494,IPC,376,2,2
495,IPC,363,1,1
495,POCSO,8,2,2
495,DOWRY,3,3,3
496,POCSO,4,1,1
497,ARMS,25,1,1
498,SCST,3(1),1,1
499,NDPS,21,1,1
499,IPC,420,2,2
500,BNS,64,1,1
500,BNS,103,2,2
501,ARMS,25,1,1
501,IPC,376,2,2
502,IT,66C,1,1
503,MV,184,1,1
504,BNS,64,1,1
505,BNS,109,1,1
505,BNS,103,2,2
506,IPC,447,1,1
506,ARMS,25,2,2
507,IPC,363,1,1
507,ARMS,25,2,2
507,POCSO,4,3,3
508,IPC,302,1,1
509,BNS,305,1,1
509,NDPS,20,2,2
509,EXCISE,32,3,3
510,ARMS,25,1,1
510,NDPS,21,2,2
511,NDPS,20,1,1
511,NDPS,21,2,2
512,DOWRY,3,1,1
513,BNS,318,1,1
513,IPC,354,2,2
514,IPC,324,1,1
514,IPC,376,2,2
514,MV,185,3,3
515,NDPS,20,1,1
516,IPC,302,1,1
516,IPC,498A,2,2
517,IT,66D,1,1
517,NDPS,21,2,2
517,POCSO,4,3,3
518,EXCISE,32,1,1
519,BNS,109,1,1
520,IPC,324,1,1
520,IPC,363,2,2
520,SCST,3(1),3,3
521,IPC,307,1,1
521,BNS,318,2,2
522,IPC,324,1,1
522,NDPS,21,2,2
523,IPC,392,1,1
523,NDPS,21,2,2
524,POCSO,8,1,1
524,MV,184,2,2
525,POCSO,8,1,1
526,NDPS,20,1,1
526,POCSO,8,2,2
526,BNS,318,3,3
527,BNS,103,1,1
527,POCSO,8,2,2
527,BNS,305,3,3
528,ARMS,27,1,1
528,ARMS,25,2,2
529,ARMS,27,1,1
530,IPC,420,1,1
530,IPC,307,2,2
530,BNS,318,3,3
531,IPC,302,1,1
531,IPC,498A,2,2
532,ARMS,25,1,1
533,POCSO,8,1,1
533,IPC,420,2,2
534,IPC,498A,1,1
534,IT,66C,2,2
534,SCST,3(1),3,3
535,BNS,64,1,1
535,IPC,354,2,2
536,IPC,498A,1,1
536,IPC,376,2,2
537,IT,66D,1,1
538,DOWRY,4,1,1
538,MV,184,2,2
539,IPC,354,1,1
539,IPC,447,2,2
539,IPC,302,3,3
540,IPC,420,1,1
540,POCSO,4,2,2
540,IPC,447,3,3
541,DOWRY,4,1,1
541,MV,184,2,2
542,IPC,447,1,1
543,IPC,392,1,1
543,DOWRY,3,2,2
543,BNS,109,3,3
544,NDPS,21,1,1
544,IPC,447,2,2
544,IT,66D,3,3
545,IPC,447,1,1
545,IPC,302,2,2
546,IPC,392,1,1
546,BNS,109,2,2
547,ARMS,27,1,1
548,MV,185,1,1
549,BNS,64,1,1
549,MV,185,2,2
549,IPC,307,3,3
550,ARMS,25,1,1
550,IPC,354,2,2
550,POCSO,4,3,3
551,NDPS,21,1,1
552,DOWRY,3,1,1
552,IT,66C,2,2
553,IPC,447,1,1
554,BNS,109,1,1
554,IT,66D,2,2
554,IPC,307,3,3
555,POCSO,8,1,1
556,IPC,363,1,1
556,IPC,324,2,2
557,IPC,447,1,1
557,IT,66D,2,2
558,BNS,109,1,1
558,BNS,305,2,2
559,NDPS,21,1,1
559,MV,185,2,2
560,IPC,376,1,1
560,BNS,64,2,2
560,IPC,302,3,3
561,IPC,324,1,1
561,SCST,3(1),2,2
561,MV,184,3,3
562,IPC,324,1,1
563,BNS,109,1,1
563,BNS,305,2,2
563,IPC,447,3,3
564,POCSO,4,1,1
565,BNS,318,1,1
565,ARMS,27,2,2
565,IPC,324,3,3
