ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
91,213,1,2025-05-25,1,14,284,2052,15,349,1,0
92,215,1,2024-08-11,1,7,154,7099,33,350,1,0
93,217,1,2025-04-26,1,4,69,6825,33,352,1,0
94,217,2,2025-06-07,1,4,69,6825,33,353,1,0
95,218,1,2026-07-01,1,4,80,7373,25,356,1,0
96,225,2,2024-04-21,1,2,41,5849,41,365,1,0
97,225,2,2024-04-11,1,2,41,5849,41,366,1,0
98,228,1,2024-02-24,1,3,54,1770,37,371,1,1
99,236,2,2026-01-21,1,14,290,2099,9,385,1,0
100,241,1,2024-12-29,1,8,169,3818,24,392,1,0
101,241,2,2024-11-29,1,8,169,3818,24,393,1,0
102,242,2,2025-04-24,1,8,173,7698,6,394,1,0
103,247,1,2025-09-18,1,14,289,3058,41,404,1,0
104,248,2,2025-07-18,1,14,281,949,10,405,1,0
105,248,1,2025-09-02,1,14,281,949,10,406,1,0
106,251,2,2026-08-06,1,16,326,4615,18,412,1,0
107,251,1,2026-06-07,1,16,326,4615,18,411,1,0
108,254,2,2026-08-08,1,9,189,5736,28,419,1,0
109,255,2,2024-07-02,1,5,103,2586,14,422,1,0
110,255,2,2024-07-31,1,5,103,2586,14,421,1,0
111,258,1,2024-11-30,1,5,95,599,5,429,1,0
112,260,2,2026-06-02,1,10,215,6432,1,435,1,0
113,260,1,2026-05-19,1,10,215,6432,1,434,1,0
114,263,2,2024-08-27,1,3,66,3481,43,441,1,0
115,263,1,2024-08-30,1,3,66,3481,43,440,1,0
116,265,1,2024-04-06,1,7,140,4159,1,443,1,1
117,265,2,2024-03-10,1,7,140,4159,1,442,1,0
118,268,1,2025-03-16,1,13,264,6035,14,449,1,0
119,269,1,2025-06-14,1,4,89,801,31,450,1,0
120,270,1,2025-02-07,1,14,278,3937,14,451,1,0
121,270,2,2025-01-17,1,14,278,3937,14,452,1,1
122,273,1,2026-04-06,1,13,261,1304,40,457,1,0
123,276,1,2025-01-12,1,9,187,4159,29,461,1,0
124,276,2,2024-12-31,1,9,187,4159,29,462,1,0
125,281,2,2024-08-09,1,7,152,5076,11,466,1,0
126,281,1,2024-09-21,1,7,152,5076,11,467,1,0
127,284,1,2026-04-10,1,7,151,2335,45,470,1,0
128,284,2,2026-03-07,1,7,151,2335,45,471,1,0
129,285,1,2025-05-05,1,7,160,1739,19,473,1,0
130,285,1,2025-05-08,1,7,160,1739,19,472,1,0
131,289,1,2026-04-30,1,14,288,1162,48,478,1,0
132,296,2,2026-04-09,1,6,125,4036,39,488,1,0
133,298,2,2024-08-29,1,16,325,6930,8,490,1,0
134,299,2,2025-05-06,1,2,27,7915,36,492,1,0
135,299,2,2025-05-08,1,2,27,7915,36,491,1,0
136,302,1,2026-05-29,1,8,172,4870,7,497,1,0
137,302,1,2026-06-24,1,8,172,4870,7,500,1,0
138,303,2,2025-10-21,1,11,228,2542,25,501,1,0
139,308,2,2025-10-16,1,5,102,4395,22,513,1,0
140,314,2,2025-04-12,1,5,114,1341,13,523,1,0
141,316,1,2025-04-20,1,3,68,4425,3,527,1,0
142,316,1,2025-05-14,1,3,68,4425,3,528,1,0
143,326,1,2026-03-02,1,7,153,4463,16,540,1,0
144,336,1,2026-03-06,1,16,329,7440,42,553,1,0
145,338,1,2026-07-06,1,6,117,1425,38,557,1,0
146,346,2,2026-06-26,1,4,70,4990,29,573,1,0
147,348,2,2024-05-18,1,6,134,7594,7,578,1,0
148,348,2,2024-04-18,1,6,134,7594,7,577,1,0
149,352,1,2025-06-30,1,9,199,6899,6,586,1,0
150,352,1,2025-07-23,1,9,199,6899,6,585,1,0
151,353,1,2025-10-03,1,9,182,5332,7,588,1,0
152,353,2,2025-10-27,1,9,182,5332,7,590,1,0
153,356,1,2025-05-21,1,7,145,6077,32,592,1,0
154,358,2,2025-05-26,1,13,265,6138,45,597,1,0
155,358,1,2025-05-06,1,13,265,6138,45,596,1,1
156,360,2,2024-09-18,1,9,193,5879,43,602,1,0
157,363,1,2025-02-19,1,1,18,6990,45,608,1,0
158,363,1,2025-01-25,1,1,18,6990,45,607,1,0
159,367,1,2024-03-30,1,15,306,145,26,614,1,0
160,368,2,2025-11-22,1,2,28,63,12,615,1,0
161,368,2,2025-10-18,1,2,28,63,12,616,1,0
162,369,2,2024-08-08,1,14,286,7041,25,619,1,0
163,369,1,2024-08-30,1,14,286,7041,25,618,1,0
164,371,1,2024-04-17,1,16,318,193,28,622,1,0
165,372,1,2025-01-02,1,14,278,2260,7,624,1,0
166,372,1,2025-01-12,1,14,278,2260,7,623,1,0
167,373,1,2026-01-28,1,2,30,5638,15,626,1,0
168,384,2,2025-06-13,1,15,303,6581,42,649,1,0
169,385,1,2025-10-19,1,8,164,1070,31,650,1,0
170,385,1,2025-10-27,1,8,164,1070,31,651,1,0
171,386,1,2025-03-06,1,4,87,7089,43,652,1,0
172,392,1,2026-03-16,1,4,71,2192,13,657,1,0
173,393,1,2025-08-12,1,6,120,2665,13,658,1,0
174,394,2,2024-08-16,1,5,106,3910,38,659,1,0
175,398,1,2025-03-21,1,1,19,2594,17,665,1,0
176,399,1,2025-06-17,1,1,7,3249,34,668,1,0
177,400,1,2025-08-24,1,5,99,5042,20,669,1,0
178,403,2,2024-05-08,1,15,304,4873,44,672,1,0
179,407,2,2026-07-19,1,3,60,7872,26,683,1,0
180,409,1,2024-10-18,1,9,197,2511,48,687,1,0
181,410,2,2025-01-19,1,7,143,5281,33,690,1,1
182,416,1,2024-06-16,1,14,294,2615,41,698,1,0
183,418,2,2026-04-24,1,12,255,2383,16,699,1,0
184,421,2,2024-01-17,1,4,79,2936,23,706,1,0
185,421,1,2024-02-09,1,4,79,2936,23,705,1,0
186,425,2,2025-05-10,1,1,11,3379,40,711,1,0
187,425,2,2025-06-05,1,1,11,3379,40,712,1,0
188,429,2,2025-08-27,1,10,206,7560,42,718,1,0
189,430,2,2024-04-14,1,13,267,953,25,719,1,0
190,434,2,2025-11-24,1,5,95,5181,44,723,1,0
191,434,1,2025-12-09,1,5,95,5181,44,722,1,0
192,443,1,2025-01-14,1,7,148,747,24,746,1,0
193,446,2,2024-02-06,1,11,234,2702,5,754,1,0
194,446,1,2024-03-16,1,11,234,2702,5,753,1,0
195,448,2,2026-06-09,1,13,261,3117,16,755,1,0
196,451,1,2025-07-14,1,4,87,6279,31,762,1,0
197,451,2,2025-08-24,1,4,87,6279,31,763,1,0
198,454,1,2025-08-22,1,7,160,7438,14,768,1,0
199,454,1,2025-10-08,1,7,160,7438,14,767,1,0
200,457,1,2026-06-09,1,12,242,1066,19,776,1,0
201,457,1,2026-05-27,1,12,242,1066,19,775,1,0
202,458,1,2024-10-22,1,2,28,3135,23,777,1,0
203,459,2,2024-12-09,1,1,14,5667,10,778,1,0
204,460,1,2024-06-25,1,11,223,4506,17,781,1,0
205,460,2,2024-08-11,1,11,223,4506,17,782,1,0
206,463,2,2024-08-29,1,1,20,2821,47,787,1,0
207,464,2,2025-10-14,1,7,162,1684,21,788,1,0
208,464,2,2025-10-01,1,7,162,1684,21,789,1,0
209,466,1,2024-03-01,1,8,178,2984,44,792,1,0
210,467,1,2024-05-17,1,15,300,5565,11,793,1,0
211,468,1,2025-12-27,1,5,96,7689,7,794,1,0
212,472,2,2025-06-03,1,3,67,4240,48,796,1,0
213,476,1,2024-11-24,1,7,159,6849,36,801,1,0
214,476,1,2024-11-16,1,7,159,6849,36,800,1,0
215,477,1,2025-08-05,1,2,47,5809,26,802,1,0
216,480,2,2024-07-17,1,2,28,7757,41,804,1,0
217,481,1,2024-07-15,1,3,62,5115,28,805,1,0
218,481,2,2024-06-24,1,3,62,5115,28,806,1,0
219,482,1,2025-04-07,1,11,228,1735,15,808,1,0
220,486,2,2024-05-25,1,14,295,960,34,815,1,0
221,490,1,2025-08-02,1,12,246,2314,4,820,1,0
222,491,1,2025-10-21,1,5,94,2285,36,821,1,0
223,494,2,2026-07-03,1,1,2,2894,45,828,1,1
224,497,2,2025-04-27,1,16,328,6257,10,833,1,0
225,497,1,2025-05-04,1,16,328,6257,10,834,1,0
226,499,1,2024-04-18,1,14,278,2465,2,836,1,0
227,499,1,2024-05-26,1,14,278,2465,2,837,1,0
228,502,2,2026-02-16,1,10,210,2299,2,841,1,0
229,502,2,2026-01-04,1,10,210,2299,2,842,1,0
230,503,2,2025-05-25,1,10,211,2144,15,844,1,0
231,503,1,2025-05-27,1,10,211,2144,15,843,1,0
232,504,2,2026-04-19,1,2,26,6538,33,845,1,0
233,505,1,2025-10-05,1,14,289,6725,43,848,1,0
234,505,2,2025-09-09,1,14,289,6725,43,847,1,0
235,507,1,2026-08-08,1,8,163,3011,20,850,1,0
236,511,1,2024-01-31,1,13,260,6625,2,855,1,0
237,511,1,2024-03-09,1,13,260,6625,2,854,1,0
238,515,1,2026-06-25,1,1,15,7821,24,858,1,0
239,516,1,2026-05-14,1,9,181,4918,4,859,1,0
240,517,2,2024-09-25,1,2,41,1063,29,861,1,0
241,517,1,2024-09-15,1,2,41,1063,29,860,1,0
242,521,2,2026-05-28,1,12,241,1383,23,869,1,0
243,531,1,2024-10-02,1,14,286,1126,44,884,1,0
244,534,2,2026-07-16,1,14,298,7104,41,886,1,0
245,537,2,2025-07-14,1,15,314,7452,17,892,1,0
246,539,1,2024-12-24,1,12,256,4736,21,897,1,0
247,539,2,2024-12-21,1,12,256,4736,21,894,1,0
248,540,1,2025-04-07,1,1,10,3343,32,898,1,0
249,541,2,2026-07-24,1,1,6,4346,15,900,1,0
250,548,1,2026-07-21,1,1,25,3188,6,909,1,0
251,550,1,2026-07-18,1,11,236,7910,24,911,1,0
252,552,1,2024-02-14,1,5,99,3655,20,913,1,0
253,554,1,2025-03-05,1,13,272,5621,9,917,1,0
254,555,1,2024-10-06,1,5,102,1148,9,920,1,0
255,555,2,2024-11-11,1,5,102,1148,9,921,1,0
256,558,1,2025-06-11,1,10,204,2589,7,927,1,0
257,560,1,2024-10-15,1,5,98,3411,36,929,1,0
258,560,1,2024-11-04,1,5,98,3411,36,930,1,0
259,562,2,2024-02-23,1,9,195,7989,43,932,1,0
260,567,1,2026-06-16,1,1,16,4381,36,939,1,0
261,567,2,2026-06-22,1,1,16,4381,36,938,1,0
262,573,2,2025-02-01,1,13,264,7770,34,951,1,0
263,573,1,2024-12-29,1,13,264,7770,34,950,1,0
264,574,2,2024-09-24,1,11,227,7302,10,953,1,0
265,574,2,2024-10-08,1,11,227,7302,10,955,1,0
266,575,2,2024-03-06,1,1,7,5108,5,956,1,0
267,575,1,2024-04-06,1,1,7,5108,5,957,1,0
268,578,1,2024-12-23,1,3,57,1184,6,960,1,0
269,578,1,2024-12-27,1,3,57,1184,6,961,1,0
270,583,1,2025-01-15,1,7,158,6195,21,967,1,0
271,584,1,2026-05-26,1,6,116,2215,20,969,1,0
272,584,2,2026-05-08,1,6,116,2215,20,968,1,0
273,585,2,2026-02-05,1,14,286,1033,27,970,1,0
274,587,2,2025-12-24,1,10,202,5856,8,975,1,0
275,588,1,2026-03-29,1,1,25,1903,43,979,1,0
276,588,2,2026-03-09,1,1,25,1903,43,978,1,0
277,592,1,2026-05-07,1,6,127,2242,3,987,1,0
278,594,2,2025-11-15,1,10,215,166,11,990,1,0
279,594,2,2025-12-09,1,10,215,166,11,991,1,0
280,604,2,2025-08-30,1,1,16,4212,9,1005,1,0
281,604,1,2025-09-07,1,1,16,4212,9,1006,1,0
282,607,2,2025-12-31,1,7,149,29,15,1011,1,0
283,607,2,2025-12-07,1,7,149,29,15,1010,1,0
284,609,1,2025-11-29,1,4,88,6114,30,1016,1,0
285,609,2,2025-12-03,1,4,88,6114,30,1018,1,0
286,614,2,2026-05-16,1,14,295,3210,2,1026,1,1
287,615,2,2025-11-11,1,4,89,2432,34,1028,1,0
288,615,1,2025-11-26,1,4,89,2432,34,1029,1,0
289,616,1,2024-10-09,1,4,78,1512,38,1030,1,0
290,617,1,2024-09-07,1,5,94,1255,10,1032,1,0
291,622,1,2025-07-06,1,11,229,2280,23,1042,1,0
292,624,2,2026-03-23,1,12,252,5496,19,1049,1,1
293,624,2,2026-04-10,1,12,252,5496,19,1048,1,1
294,628,1,2024-02-28,1,1,1,4611,37,1055,1,0
295,629,2,2024-02-06,1,13,271,6555,28,1056,1,0
296,631,2,2026-06-20,1,2,37,1830,14,1059,1,0
297,637,2,2025-05-27,1,4,77,2476,28,1067,1,0
298,639,2,2025-08-03,1,14,283,6417,20,1071,1,0
299,643,1,2024-05-02,1,15,304,6169,43,1079,1,0
300,645,2,2024-02-04,1,5,101,1735,8,1084,1,1
301,650,2,2025-03-03,1,7,155,181,32,1094,1,0
302,651,1,2025-08-22,1,4,93,250,11,1095,1,0
303,652,2,2025-06-21,1,16,318,344,16,1097,1,0
304,653,2,2025-09-20,1,14,295,5732,7,1099,1,0
305,655,1,2024-06-18,1,6,127,2910,2,1102,1,0
306,656,1,2024-08-22,1,14,286,1295,35,1104,1,0
307,656,1,2024-08-26,1,14,286,1295,35,1103,1,0
308,658,2,2024-06-29,1,9,192,485,39,1107,1,0
309,659,2,2025-08-16,1,1,15,1647,29,1108,1,0
310,665,2,2025-05-22,1,11,240,5700,23,1117,1,0
311,665,1,2025-05-04,1,11,240,5700,23,1118,1,0
312,672,1,2026-05-04,1,9,192,65,39,1129,1,0
313,674,1,2024-12-17,1,10,206,453,45,1132,1,0
314,676,1,2024-07-26,1,13,262,2927,37,1135,1,0
315,678,1,2025-10-19,1,8,167,1060,11,1138,1,0
316,682,2,2025-09-09,1,3,67,5322,45,1145,1,0
317,682,1,2025-09-03,1,3,67,5322,45,1144,1,0
318,690,1,2024-10-26,1,5,94,5829,8,1161,1,0
319,692,1,2024-02-29,1,4,81,6677,38,1164,1,0
320,692,2,2024-04-11,1,4,81,6677,38,1163,1,0
321,693,1,2024-08-11,1,11,234,598,47,1165,1,0
322,693,2,2024-08-24,1,11,234,598,47,1166,1,0
323,695,2,2024-08-13,1,10,202,7884,31,1169,1,0
324,698,2,2025-09-25,1,8,165,1826,23,1175,1,0
325,699,2,2025-04-25,1,3,61,6186,43,1176,1,0
326,702,2,2024-07-08,1,4,70,1032,33,1180,1,0
327,705,1,2024-06-02,1,5,109,4539,32,1187,1,0
328,711,1,2024-08-18,1,2,36,2975,23,1193,1,0
329,713,1,2024-06-21,1,11,233,75,14,1196,1,0
330,715,2,2026-02-18,1,15,314,7315,2,1198,1,0
331,721,2,2024-04-18,1,10,213,3813,24,1204,1,0
332,721,2,2024-04-14,1,10,213,3813,24,1205,1,0
333,722,2,2024-11-23,1,11,237,496,32,1207,1,0
334,722,2,2025-01-07,1,11,237,496,32,1206,1,0
335,726,1,2024-11-23,1,10,202,1760,1,1216,1,0
336,729,1,2025-02-14,1,4,88,7663,3,1224,1,0
337,731,1,2025-04-03,1,16,322,492,47,1226,1,0
338,732,2,2024-03-10,1,12,256,3650,43,1227,1,0
339,733,2,2024-08-23,1,5,96,3413,29,1228,1,0
340,740,2,2025-07-11,1,14,285,5113,2,1234,1,0
341,742,1,2024-07-26,1,15,310,1864,3,1239,1,0
342,743,1,2024-08-29,1,10,210,3406,10,1240,1,0
343,748,1,2024-07-31,1,14,284,4021,31,1247,1,0
344,749,1,2024-12-18,1,2,40,3736,17,1248,1,0
345,749,1,2024-12-04,1,2,40,3736,17,1249,1,0
346,750,1,2024-11-14,1,13,264,5013,23,1250,1,0
347,752,2,2026-08-11,1,3,58,7890,20,1252,1,0
348,760,1,2024-05-28,1,4,71,1611,4,1260,1,0
349,764,1,2026-03-30,1,15,304,5236,30,1265,1,0
350,764,1,2026-04-27,1,15,304,5236,30,1266,1,0
351,766,1,2024-09-20,1,9,187,4947,45,1268,1,0
352,773,1,2025-05-15,1,5,103,880,40,1279,1,0
353,774,2,2025-04-09,1,2,40,5449,6,1280,1,0
354,776,2,2024-10-01,1,16,331,6339,31,1285,1,0
355,780,2,2025-02-25,1,1,23,4236,45,1293,1,0
356,783,2,2024-09-25,1,10,202,6321,26,1296,1,0
357,785,1,2024-06-10,1,8,168,843,36,1300,1,0
358,785,1,2024-06-29,1,8,168,843,36,1299,1,0
359,787,1,2025-12-15,1,6,119,3732,3,1304,1,0
360,787,1,2025-12-27,1,6,119,3732,3,1303,1,0
361,790,2,2024-10-22,1,5,100,4536,44,1309,1,0
362,791,2,2026-07-12,1,1,23,1495,28,1310,1,0
363,792,2,2025-07-22,1,12,254,5723,13,1313,1,0
364,792,1,2025-08-04,1,12,254,5723,13,1312,1,0
365,795,1,2024-07-27,1,6,128,1855,24,1314,1,0
366,797,1,2025-05-11,1,1,20,7959,1,1316,1,0
367,801,2,2024-07-03,1,16,323,3052,38,1324,1,0
368,801,1,2024-06-25,1,16,323,3052,38,1325,1,0
369,804,1,2025-04-03,1,4,80,1262,25,1328,1,0
370,806,1,2025-09-18,1,11,225,6904,11,1332,1,0
371,806,2,2025-10-07,1,11,225,6904,11,1333,1,0
372,808,2,2024-04-29,1,11,227,7304,35,1337,1,0
373,811,2,2024-05-15,1,15,307,5090,45,1342,1,0
374,811,2,2024-04-03,1,15,307,5090,45,1341,1,0
375,814,1,2024-05-07,1,7,144,7149,42,1347,1,0
376,818,2,2025-08-02,1,14,294,3813,14,1355,1,0
377,818,1,2025-06-26,1,14,294,3813,14,1356,1,0
378,821,2,2024-12-22,1,14,297,1124,23,1358,1,0
379,823,2,2025-11-05,1,4,85,5909,18,1364,1,0
380,823,2,2025-11-20,1,4,85,5909,18,1363,1,0
381,826,1,2024-09-12,1,13,269,3869,38,1369,1,0
382,827,2,2025-04-04,1,10,215,1853,3,1370,1,0
383,829,2,2025-08-28,1,9,184,3155,48,1373,1,0
384,833,1,2026-02-24,1,15,317,7317,26,1379,1,0
385,833,1,2026-02-27,1,15,317,7317,26,1378,1,0
386,834,1,2024-12-05,1,7,162,7441,35,1380,1,0
387,835,1,2025-11-10,1,9,185,7445,39,1381,1,0
388,836,1,2024-08-02,1,15,309,4694,19,1383,1,0
389,839,2,2024-06-27,1,6,130,4297,47,1386,1,0
390,841,1,2025-11-22,1,16,324,7525,42,1390,1,0
391,845,2,2025-04-03,1,11,220,5217,16,1394,1,0
392,851,2,2024-01-17,1,11,239,353,32,1405,1,0
393,855,2,2026-02-03,1,1,12,3707,48,1408,1,0
394,856,2,2026-03-27,1,6,127,4561,25,1410,1,0
395,856,2,2026-03-27,1,6,127,4561,25,1411,1,0
396,859,2,2026-04-26,1,14,297,3556,12,1413,1,0
397,859,1,2026-06-16,1,14,297,3556,12,1412,1,0
398,861,1,2024-08-02,1,11,225,6273,32,1418,1,0
399,861,2,2024-07-07,1,11,225,6273,32,1419,1,0
400,865,1,2026-08-04,1,11,229,7785,48,1424,1,0
401,866,1,2024-07-15,1,7,151,820,31,1425,1,0
402,870,1,2026-03-26,1,6,138,4726,34,1428,1,0
403,872,1,2026-06-16,1,7,147,4304,39,1433,1,0
404,875,2,2024-01-22,1,11,223,2188,8,1437,1,0
405,875,1,2024-02-24,1,11,223,2188,8,1436,1,0
406,882,1,2025-11-20,1,6,123,5064,38,1450,1,0
407,882,1,2025-11-14,1,6,123,5064,38,1449,1,0
408,886,2,2026-03-04,1,5,99,4352,29,1458,1,0
409,887,1,2026-01-03,1,2,41,7739,33,1459,1,0
410,893,2,2026-04-14,1,6,119,1679,28,1473,1,1
411,893,2,2026-03-08,1,6,119,1679,28,1472,1,0
412,895,1,2024-07-09,1,1,12,4249,32,1481,1,1
413,896,2,2024-03-09,1,6,116,5015,20,1482,1,0
414,899,2,2025-11-02,1,7,154,5243,22,1488,1,1
415,899,1,2025-11-07,1,7,154,5243,22,1489,1,0
416,903,1,2024-03-27,1,7,158,6764,40,1498,1,0
417,904,1,2025-07-26,1,12,250,7890,20,1499,1,0
418,906,2,2025-06-11,1,11,232,6967,44,1500,1,0
419,908,1,2024-06-14,1,12,248,797,16,1504,1,0
420,909,1,2025-10-18,1,10,215,1830,5,1505,1,0
421,913,2,2024-09-16,1,4,88,7152,43,1513,1,0
422,915,1,2026-04-20,1,15,304,6540,15,1515,1,0
423,916,1,2025-09-12,1,6,135,3831,5,1516,1,0
424,921,1,2024-04-20,1,15,317,5152,45,1522,1,0
425,922,1,2024-01-28,1,14,297,811,44,1524,1,0
426,925,2,2024-03-06,1,9,185,2362,16,1529,1,0
427,925,2,2024-02-28,1,9,185,2362,16,1528,1,1
428,927,1,2024-07-23,1,9,188,4437,12,1533,1,0
429,931,1,2026-01-19,1,14,293,4233,6,1542,1,0
430,933,2,2025-01-28,1,6,130,4240,18,1547,1,0
431,934,2,2026-01-21,1,3,54,2598,1,1551,1,1
432,934,1,2025-12-26,1,3,54,2598,1,1549,1,0
433,939,1,2024-11-29,1,9,189,929,26,1559,1,0
434,940,2,2026-05-27,1,6,121,4458,42,1560,1,0
435,942,2,2024-09-14,1,12,251,4653,6,1566,1,0
436,943,2,2026-03-21,1,12,246,5467,3,1567,1,0
437,950,2,2026-04-13,1,6,130,2673,26,1575,1,0
438,950,1,2026-02-26,1,6,130,2673,26,1574,1,0
439,954,1,2026-04-01,1,13,261,4518,21,1583,1,0
440,956,2,2026-01-02,1,2,46,3836,45,1586,1,0
441,957,1,2025-06-02,1,7,145,1643,3,1589,1,0
442,957,2,2025-06-26,1,7,145,1643,3,1588,1,0
443,961,1,2025-12-06,1,9,182,7834,45,1596,1,0
444,961,2,2026-01-18,1,9,182,7834,45,1597,1,1
445,963,1,2025-07-29,1,10,204,6869,7,1600,1,0
446,963,2,2025-07-04,1,10,204,6869,7,1601,1,0
447,964,1,2025-01-19,1,14,298,2482,3,1602,1,0
448,965,1,2025-08-27,1,16,328,3962,40,1604,1,0
449,965,1,2025-08-21,1,16,328,3962,40,1603,1,0
450,966,2,2025-04-10,1,14,277,7071,6,1606,1,0
451,967,2,2025-08-07,1,4,89,7145,35,1608,1,0
452,971,2,2024-07-04,1,2,35,5524,48,1614,1,0
453,971,1,2024-07-21,1,2,35,5524,48,1615,1,0
454,974,1,2025-10-12,1,14,280,3280,21,1618,1,0
