CSID,CaseMasterID,csdate,cstype,PolicePersonID
189,480,2024-08-17 11:59:00,A,7757
190,481,2024-10-07 14:05:00,A,5115
191,482,2025-04-12 01:24:00,A,1735
192,485,2024-05-17 16:22:00,B,3745
193,486,2024-07-02 13:43:00,A,960
194,490,2025-07-01 19:40:00,A,2314
195,491,2026-01-02 18:15:00,A,2285
196,492,2025-03-18 08:21:00,B,6181
197,496,2024-12-05 02:22:00,B,2581
198,497,2025-08-12 10:54:00,A,6257
199,498,2025-11-09 20:11:00,B,4933
200,499,2024-07-26 01:03:00,A,2465
201,500,2025-11-29 13:02:00,C,5820
202,503,2025-09-02 00:24:00,A,2144
203,511,2024-04-04 11:15:00,A,6625
204,512,2024-04-09 07:25:00,B,7581
205,516,2026-07-30 14:33:00,A,4918
206,519,2025-12-02 15:36:00,C,6858
207,521,2026-05-29 08:41:00,A,1383
208,522,2024-05-28 11:39:00,B,2379
209,523,2024-04-10 21:28:00,B,1138
210,528,2024-08-16 06:09:00,C,1971
211,531,2024-12-14 12:19:00,A,1126
212,534,2026-06-28 13:23:00,A,7104
213,535,2024-10-29 04:29:00,B,1734
214,537,2025-09-06 23:06:00,A,7452
215,538,2024-12-19 21:15:00,C,5522
216,539,2025-03-05 02:27:00,A,4736
217,540,2025-04-05 09:22:00,A,3343
218,541,2026-09-27 17:13:00,A,4346
219,543,2024-10-10 15:03:00,B,7993
220,549,2024-09-16 09:07:00,B,4783
221,551,2026-07-03 12:55:00,B,6854
222,552,2024-02-23 23:41:00,A,3655
223,555,2025-01-03 02:46:00,A,1148
224,556,2026-05-14 22:19:00,B,3699
225,559,2026-05-12 20:29:00,B,2190
226,560,2024-12-02 09:09:00,A,3411
227,561,2024-11-20 09:47:00,B,850
228,562,2024-03-22 13:05:00,A,7989
229,570,2025-09-15 17:33:00,C,6199
230,573,2025-03-30 14:24:00,A,7770
231,574,2024-10-28 22:37:00,A,7302
232,578,2024-12-15 09:11:00,A,1184
233,580,2024-10-17 06:11:00,B,1504
234,581,2026-05-30 08:32:00,C,5149
235,582,2024-07-26 05:42:00,C,4851
236,583,2025-04-12 04:05:00,A,6195
237,587,2026-04-12 11:52:00,A,5856
238,589,2026-04-14 03:22:00,C,5114
239,596,2025-06-23 21:51:00,A,959
240,597,2025-02-03 21:07:00,C,7522
241,599,2026-08-21 02:12:00,B,5276
242,602,2024-10-07 18:52:00,C,2958
243,604,2025-09-19 01:28:00,A,4212
244,607,2026-02-18 07:24:00,A,29
245,612,2025-01-13 05:50:00,C,224
246,614,2026-05-02 16:26:00,A,3210
247,615,2025-12-25 22:05:00,A,2432
248,616,2024-08-24 12:20:00,A,1512
249,617,2024-10-17 06:26:00,A,1255
250,619,2026-02-02 00:03:00,C,4378
251,624,2026-06-06 10:52:00,A,5496
252,628,2024-04-15 12:01:00,A,4611
253,629,2024-04-04 21:37:00,A,6555
254,630,2024-04-02 16:11:00,C,1528
255,631,2026-08-12 05:00:00,A,1830
256,634,2024-12-14 16:41:00,C,2909
257,639,2025-08-09 13:20:00,A,6417
258,642,2024-06-08 03:33:00,C,909
259,643,2024-07-18 22:43:00,A,6169
260,645,2024-02-10 22:07:00,A,1735
261,646,2024-04-29 04:55:00,C,5975
262,651,2025-11-22 13:58:00,A,250
263,652,2025-05-24 22:31:00,A,344
264,653,2025-12-07 01:35:00,A,5732
265,655,2024-07-25 10:40:00,A,2910
266,656,2024-12-02 05:05:00,A,1295
267,657,2024-08-31 22:05:00,C,7263
268,658,2024-05-21 20:59:00,A,485
269,665,2025-05-28 21:57:00,A,5700
270,675,2025-09-25 21:12:00,C,271
271,676,2024-08-19 15:38:00,A,2927
272,678,2025-10-23 06:21:00,A,1060
273,681,2026-04-18 01:26:00,C,3089
274,683,2025-12-18 13:44:00,B,1952
275,692,2024-04-11 22:34:00,A,6677
276,693,2024-11-01 18:48:00,A,598
277,695,2024-09-26 20:58:00,A,7884
278,696,2026-06-21 10:44:00,B,4735
279,698,2025-10-22 15:56:00,A,1826
280,700,2026-01-19 18:17:00,B,4010
281,701,2025-10-02 00:18:00,A,5827
282,708,2024-12-12 13:04:00,B,4273
283,710,2025-10-16 07:51:00,A,2774
284,711,2024-08-07 02:24:00,A,2975
285,715,2026-04-25 10:04:00,A,7315
286,718,2026-04-14 06:55:00,B,2084
287,722,2024-12-14 18:17:00,A,496
288,724,2025-10-28 12:34:00,C,4078
289,726,2025-02-07 04:05:00,A,1760
290,727,2025-09-06 11:52:00,C,2432
291,730,2024-08-08 03:44:00,B,7128
292,731,2025-03-20 03:38:00,A,492
293,732,2024-04-12 02:18:00,A,3650
294,734,2026-01-14 15:46:00,A,691
295,735,2025-09-06 08:32:00,A,966
296,737,2024-10-15 11:03:00,B,2185
297,738,2025-02-19 16:41:00,B,274
298,739,2026-05-28 06:38:00,C,1766
299,740,2025-09-19 04:40:00,A,5113
300,742,2024-09-20 11:54:00,A,1864
301,743,2024-08-07 10:44:00,A,3406
302,744,2026-01-23 14:53:00,C,7345
303,748,2024-08-28 12:57:00,A,4021
304,749,2024-12-03 23:48:00,A,3736
305,750,2025-02-10 04:50:00,A,5013
306,751,2025-07-13 13:55:00,C,1956
307,752,2026-10-02 05:24:00,A,7890
308,760,2024-07-01 12:43:00,A,1611
309,766,2024-11-03 01:36:00,A,4947
310,767,2025-01-30 13:18:00,C,2757
311,770,2026-09-17 23:13:00,B,5723
312,773,2025-06-28 21:44:00,A,880
313,776,2024-11-25 20:31:00,A,6339
314,777,2026-01-22 21:10:00,B,2120
315,778,2026-04-20 03:44:00,B,2313
316,780,2025-03-28 06:25:00,A,4236
317,790,2024-10-01 01:59:00,A,4536
318,791,2026-06-09 14:02:00,A,1495
319,795,2024-10-04 09:04:00,A,1855
320,797,2025-03-31 14:07:00,A,7959
321,801,2024-06-28 08:14:00,A,3052
322,804,2025-05-21 10:19:00,A,1262
323,808,2024-05-19 18:29:00,A,7304
324,814,2024-07-05 15:23:00,A,7149
325,823,2025-10-31 18:16:00,A,5909
326,824,2024-11-29 01:01:00,C,554
327,828,2024-12-29 17:05:00,B,3741
328,830,2025-11-28 18:32:00,B,6551
329,833,2026-04-26 19:03:00,A,7317
330,834,2024-11-21 14:01:00,A,7441
331,836,2024-08-06 02:12:00,A,4694
332,839,2024-07-27 13:33:00,A,4297
333,840,2025-04-10 21:26:00,B,63
334,841,2026-02-25 21:14:00,A,7525
335,842,2026-04-27 16:20:00,A,5851
336,844,2025-02-22 00:10:00,A,50
337,845,2025-03-28 00:06:00,A,5217
338,846,2025-02-07 15:31:00,C,6576
339,847,2026-08-02 05:48:00,C,6431
340,849,2026-07-01 11:58:00,B,3352
341,850,2026-08-10 22:01:00,B,6864
342,851,2024-04-23 04:15:00,A,353
343,853,2025-03-14 01:36:00,C,5014
344,855,2025-12-27 17:36:00,A,3707
345,857,2024-07-07 13:36:00,A,3881
346,858,2024-09-28 08:40:00,A,74
347,859,2026-07-31 09:23:00,A,3556
348,861,2024-09-17 21:15:00,A,6273
349,865,2026-07-25 10:16:00,A,7785
350,866,2024-10-05 01:39:00,A,820
351,868,2026-06-16 01:39:00,B,1053
352,869,2026-02-28 12:33:00,C,78
353,870,2026-05-20 07:44:00,A,4726
354,871,2025-08-24 04:49:00,C,4685
355,872,2026-05-23 15:34:00,A,4304
356,875,2024-05-06 08:25:00,A,2188
357,876,2024-05-12 13:09:00,B,5486
358,882,2025-11-27 15:14:00,A,5064
359,883,2025-04-15 01:06:00,C,6944
360,884,2025-04-28 22:54:00,C,4553
361,885,2025-12-02 20:50:00,C,7542
362,886,2026-04-01 13:06:00,A,4352
363,887,2026-01-22 07:09:00,A,7739
364,890,2025-02-03 01:04:00,B,4094
365,895,2024-08-20 07:44:00,A,4249
366,896,2024-05-06 03:03:00,A,5015
367,898,2026-08-03 19:16:00,B,163
368,899,2025-10-07 04:11:00,A,5243
369,903,2024-02-13 20:19:00,A,6764
370,904,2025-10-25 01:53:00,A,7890
371,905,2025-05-03 20:25:00,A,1051
372,906,2025-06-25 08:52:00,A,6967
373,916,2025-11-30 00:03:00,A,3831
374,919,2026-02-08 14:30:00,A,294
375,921,2024-04-22 14:38:00,A,5152
376,923,2024-08-18 16:08:00,B,4263
377,926,2025-01-05 18:40:00,B,6218
378,927,2024-09-20 08:50:00,A,4437
379,928,2025-07-17 13:08:00,C,5459
380,929,2025-01-28 22:16:00,C,2768
381,930,2026-07-18 13:01:00,C,1190
382,933,2025-02-12 15:54:00,A,4240
383,935,2025-05-02 20:13:00,B,7422
384,937,2025-08-02 09:34:00,C,1132
385,939,2024-12-04 00:27:00,A,929
386,940,2026-08-16 09:35:00,A,4458
387,942,2024-11-13 13:45:00,A,4653
388,943,2026-05-11 20:50:00,A,5467
389,953,2025-09-02 15:32:00,C,2664
390,954,2026-02-26 11:10:00,A,4518
391,955,2025-09-05 20:41:00,B,4046
392,957,2025-07-27 21:30:00,A,1643
393,959,2026-08-07 23:55:00,B,7879
394,961,2026-02-22 17:23:00,A,7834
395,964,2025-03-19 02:26:00,A,2482
396,967,2025-10-20 00:12:00,A,7145
397,971,2024-09-07 16:12:00,A,5524
398,972,2025-09-10 03:12:00,C,5423
399,973,2026-02-06 01:05:00,C,208
400,975,2026-04-02 21:22:00,A,6220
401,978,2025-11-14 09:38:00,B,1256
402,979,2025-01-25 03:14:00,A,5010
403,981,2025-12-26 00:05:00,A,5525
404,987,2024-12-10 12:46:00,A,3270
405,989,2026-04-12 01:26:00,A,4949
406,991,2025-04-10 05:05:00,A,4516
407,1001,2025-12-23 20:02:00,A,7844
408,1002,2024-02-18 13:59:00,A,5978
409,1005,2025-04-05 23:03:00,C,5837
410,1009,2024-04-11 23:10:00,C,1397
411,1011,2026-01-14 00:52:00,A,6653
412,1013,2025-10-01 23:51:00,A,4190
413,1018,2025-01-07 03:54:00,B,4655
414,1019,2026-04-08 05:58:00,A,1150
415,1022,2026-04-15 17:46:00,A,1667
416,1025,2024-06-19 12:16:00,C,3200
417,1026,2025-09-18 21:12:00,A,2447
418,1033,2025-08-05 20:19:00,A,3558
419,1034,2026-01-08 05:55:00,C,510
420,1044,2026-05-23 21:46:00,A,1209
421,1046,2024-07-09 00:31:00,C,5875
422,1047,2026-01-12 04:29:00,C,3910
423,1050,2026-06-07 23:28:00,A,6630
424,1052,2025-09-27 01:43:00,A,366
425,1056,2025-01-01 08:57:00,C,1404
426,1058,2024-09-22 11:40:00,A,5737
427,1064,2025-11-08 14:35:00,A,3491
428,1066,2026-05-18 00:40:00,A,5028
429,1068,2025-06-06 07:10:00,C,4737
430,1069,2025-11-07 03:50:00,B,1457
431,1080,2026-04-15 09:51:00,A,4568
432,1083,2024-11-16 06:22:00,A,2519
433,1086,2025-10-28 00:10:00,B,1661
434,1087,2024-03-25 16:58:00,B,5307
435,1088,2025-02-17 23:25:00,A,5640
436,1096,2025-01-13 04:25:00,A,2516
437,1097,2025-01-15 00:07:00,C,531
438,1099,2024-10-31 04:17:00,A,1967
439,1104,2025-04-30 02:55:00,B,1024
440,1107,2025-08-21 01:40:00,C,2274
441,1108,2026-06-24 01:34:00,A,773
442,1113,2024-04-21 06:07:00,A,4171
443,1116,2026-05-20 11:26:00,A,2293
444,1118,2025-09-30 07:47:00,A,7925
445,1119,2026-02-09 05:49:00,C,656
446,1121,2025-02-19 11:18:00,A,6368
447,1124,2025-01-11 18:24:00,A,2001
448,1127,2025-01-24 19:51:00,B,4978
449,1128,2024-08-19 20:55:00,A,3064
450,1129,2024-12-07 20:34:00,B,2784
451,1130,2026-02-26 17:01:00,C,1780
452,1133,2024-05-08 20:25:00,A,7072
453,1135,2025-11-09 06:44:00,A,6391
454,1137,2025-05-09 14:16:00,A,2825
455,1138,2026-07-16 22:04:00,A,724
456,1139,2026-08-23 02:14:00,A,1411
457,1149,2024-12-08 16:57:00,C,7471
458,1153,2024-01-29 23:14:00,B,3449
459,1155,2025-09-17 18:22:00,C,7753
460,1157,2025-10-27 14:27:00,A,2084
461,1158,2026-06-27 10:47:00,B,2722
462,1163,2024-03-30 07:03:00,C,5144
463,1164,2024-10-10 07:48:00,A,4104
464,1167,2026-06-02 20:58:00,A,4724
465,1168,2025-07-05 08:49:00,C,2566
466,1169,2024-07-04 13:04:00,B,7261
467,1172,2024-04-29 05:51:00,A,3090
468,1177,2026-02-04 11:33:00,A,7621
469,1180,2024-07-10 15:25:00,A,1539
470,1183,2024-08-19 10:42:00,A,1088
471,1186,2025-12-24 08:56:00,A,2045
472,1195,2025-07-11 01:02:00,A,6703
473,1197,2026-05-17 16:50:00,B,3110
474,1199,2026-06-05 02:57:00,B,1222
475,1200,2026-09-10 05:22:00,B,7880
476,1202,2026-02-26 20:38:00,A,717
477,1206,2024-02-27 05:42:00,A,3235
478,1208,2025-07-15 06:34:00,C,4058
479,1212,2024-08-18 15:28:00,B,4170
480,1215,2025-01-15 06:45:00,B,5499
481,1216,2024-12-29 17:12:00,C,4640
482,1219,2024-07-31 07:18:00,A,5945
483,1223,2025-11-20 20:56:00,A,2938
484,1226,2026-04-14 01:22:00,A,637
485,1229,2024-10-06 22:49:00,A,7240
486,1230,2024-12-13 21:13:00,C,7521
487,1233,2025-03-21 16:42:00,A,2475
488,1235,2025-01-22 18:28:00,A,2816
489,1237,2025-11-05 20:42:00,A,2563
490,1238,2024-12-18 16:59:00,A,5633
491,1240,2024-09-08 21:11:00,C,2417
492,1241,2025-12-25 09:41:00,A,2504
493,1242,2025-07-02 09:20:00,A,7656
494,1244,2024-05-12 23:42:00,A,328
495,1246,2025-10-07 23:52:00,A,2156
496,1247,2026-04-25 20:26:00,A,7958
497,1248,2025-11-29 07:49:00,C,3156
498,1254,2025-07-27 04:37:00,B,2735
499,1258,2025-09-08 19:01:00,A,2869
500,1259,2025-02-09 15:04:00,B,2564
501,1260,2025-03-19 11:37:00,A,6227
502,1262,2025-12-06 17:08:00,B,624
503,1265,2025-12-11 23:59:00,A,6433
504,1267,2026-03-06 02:06:00,A,4065
505,1268,2024-08-30 03:01:00,A,3384
506,1269,2026-07-18 21:30:00,A,5653
507,1270,2024-04-27 14:15:00,C,7875
508,1271,2026-05-25 12:40:00,B,5310
509,1272,2025-07-21 12:45:00,A,7268
510,1273,2026-08-08 04:51:00,A,6634
511,1274,2026-08-24 11:00:00,A,7656
512,1275,2025-05-08 20:30:00,A,3203
513,1276,2026-04-17 02:54:00,A,2942
514,1278,2024-11-10 16:23:00,B,419
515,1284,2024-07-22 06:14:00,C,589
516,1285,2025-08-16 18:01:00,A,5428
517,1287,2024-06-09 13:33:00,A,7180
518,1289,2025-07-12 03:51:00,A,1678
519,1291,2024-11-05 13:20:00,A,4904
520,1293,2024-07-31 00:27:00,A,3975
521,1297,2025-10-11 19:12:00,C,1561
522,1300,2024-05-31 03:27:00,A,3069
523,1301,2024-04-02 03:28:00,A,1980
524,1303,2024-11-18 17:16:00,C,1275
525,1308,2026-03-03 04:43:00,A,1078
526,1309,2026-05-26 00:08:00,A,6309
527,1316,2024-04-29 00:22:00,B,1753
528,1320,2026-07-26 10:48:00,A,2737
529,1326,2025-04-13 09:52:00,A,1523
530,1327,2024-09-13 06:03:00,A,7287
531,1328,2024-05-29 09:04:00,A,5732
532,1329,2024-07-23 11:42:00,A,5186
533,1331,2025-03-11 19:59:00,B,1204
534,1335,2025-10-21 01:11:00,A,4012
535,1339,2025-11-24 13:26:00,A,3589
536,1346,2026-05-01 00:13:00,A,3169
537,1354,2026-09-07 01:57:00,A,6662
538,1355,2026-01-20 03:21:00,A,6391
539,1359,2026-06-06 21:27:00,C,7312
540,1362,2025-11-16 16:33:00,B,1548
541,1364,2026-02-12 21:52:00,A,7776
542,1367,2025-06-16 23:09:00,A,6429
543,1376,2024-02-29 15:29:00,C,7814
544,1379,2024-08-12 04:58:00,A,6337
545,1380,2024-12-20 19:14:00,A,6808
546,1382,2025-08-06 02:22:00,A,6291
547,1390,2026-04-30 03:57:00,C,4000
548,1391,2026-05-19 07:49:00,A,4334
549,1392,2024-06-03 09:28:00,B,725
550,1394,2024-03-23 11:17:00,A,2011
551,1395,2025-09-11 04:27:00,A,91
552,1397,2025-07-20 02:49:00,C,6845
553,1399,2024-09-05 04:00:00,B,601
554,1400,2026-02-17 22:36:00,A,2470
555,1401,2026-01-30 20:01:00,A,1923
556,1405,2026-02-28 15:37:00,A,3609
557,1408,2024-05-31 01:51:00,C,2819
558,1409,2024-10-28 23:30:00,C,2966
559,1411,2025-09-27 23:35:00,C,911
560,1416,2024-07-20 08:43:00,A,4823
561,1417,2025-09-06 01:17:00,A,3752
562,1418,2025-10-02 06:45:00,C,7369
563,1419,2024-04-08 12:39:00,C,1796
564,1423,2024-11-02 17:17:00,A,6182
565,1424,2025-08-09 01:36:00,A,6639
566,1427,2026-04-23 01:03:00,B,4661
567,1429,2024-10-15 23:29:00,A,7326
568,1432,2025-04-14 03:34:00,A,2492
569,1435,2026-01-26 17:34:00,A,2877
570,1436,2025-05-28 23:03:00,A,23
571,1437,2025-04-29 03:21:00,A,632
572,1439,2025-04-24 07:00:00,A,5782
573,1443,2026-08-09 14:50:00,A,1099
574,1444,2024-11-19 04:07:00,A,1684
575,1445,2024-05-08 01:46:00,C,2309
576,1446,2024-06-07 04:55:00,C,5385
577,1448,2024-08-29 12:35:00,B,6786
578,1449,2026-01-15 05:15:00,B,565
579,1450,2025-07-04 03:00:00,B,2801
580,1454,2025-07-04 04:57:00,A,927
581,1457,2024-02-01 14:45:00,B,2550
582,1461,2026-05-15 03:50:00,B,7481
583,1463,2025-05-01 02:51:00,C,6764
584,1466,2024-05-22 00:53:00,B,1533
585,1469,2024-07-14 18:10:00,A,7459
586,1472,2026-02-04 22:46:00,A,6253
587,1473,2025-05-19 11:24:00,A,6821
588,1475,2025-05-15 06:49:00,A,3588
589,1476,2025-03-30 22:09:00,A,6342
590,1478,2026-04-15 19:32:00,B,5410
591,1479,2024-10-18 13:33:00,A,7944
592,1481,2024-04-08 23:33:00,B,7429
593,1482,2024-09-21 20:34:00,C,2525
594,1483,2024-07-13 16:07:00,B,4190
595,1490,2025-06-10 03:47:00,A,6665
596,1496,2024-05-25 04:10:00,A,780
597,1497,2025-04-01 00:49:00,A,2625
598,1502,2025-06-23 05:45:00,A,388
599,1505,2024-03-08 11:13:00,A,1809
600,1507,2024-08-13 22:05:00,B,1832
601,1508,2024-07-25 12:45:00,C,2576
602,1515,2025-06-08 09:01:00,A,7400
603,1516,2025-10-13 19:46:00,B,6687
604,1517,2024-08-31 04:44:00,A,7374
605,1518,2024-12-22 12:55:00,A,3848
606,1521,2026-05-07 06:39:00,C,1201
607,1523,2025-11-17 01:37:00,C,1706
608,1528,2025-05-29 02:44:00,A,355
609,1533,2026-07-11 03:07:00,A,3179
610,1537,2024-09-15 20:04:00,A,5255
611,1539,2026-08-19 16:09:00,A,7858
612,1542,2026-07-25 12:41:00,A,2528
613,1544,2026-08-27 21:41:00,A,206
614,1548,2025-10-09 00:46:00,A,1994
615,1553,2026-02-28 03:42:00,B,4282
616,1554,2024-12-27 09:48:00,C,6565
617,1556,2026-04-07 21:50:00,C,6486
618,1557,2026-05-23 17:43:00,C,3587
619,1561,2025-04-07 16:16:00,A,3550
620,1565,2025-11-18 05:40:00,B,1689
621,1568,2026-03-15 20:50:00,B,6268
622,1572,2025-11-21 21:55:00,A,6685
623,1573,2024-03-18 23:42:00,A,3555
624,1574,2024-04-10 10:10:00,C,7032
625,1575,2024-04-12 05:36:00,C,6627
626,1576,2024-09-30 15:18:00,A,1012
